	T [K]	r	c [mol/kg]	k [mS/cm]
1503	273.15	0.175	1.048	4.468
1504	283.15	0.175	1.048	5.925
1505	293.15	0.175	1.048	7.561
1506	303.15	0.175	1.048	9.282
1507	313.15	0.175	1.048	11.165
1508	323.15	0.175	1.048	13.086
1509	333.15	0.175	1.048	14.982
1510	243.15	0.175	1.048	1.298
1511	253.15	0.175	1.048	2.168
1512	263.15	0.175	1.048	3.283
1513	273.15	0.175	1.048	4.57
1514	283.15	0.175	1.048	6.064
1515	293.15	0.175	1.048	7.729
1516	303.15	0.175	1.048	9.425
1517	313.15	0.175	1.048	10.453
1518	323.15	0.175	1.048	13.047
1519	333.15	0.175	1.048	15.051
1520	243.15	0.366	1.053	1.247
1521	253.15	0.366	1.053	2.083
1522	263.15	0.366	1.053	3.142
1523	273.15	0.366	1.053	4.376
1524	283.15	0.366	1.053	5.769
1525	293.15	0.366	1.053	7.676
1526	303.15	0.366	1.053	9.793
1527	313.15	0.366	1.053	11.902
1528	323.15	0.366	1.053	14.123
1529	333.15	0.366	1.053	16.49
1530	243.15	0.366	1.053	1.279
1531	253.15	0.366	1.053	2.126
1532	263.15	0.366	1.053	3.204
1533	273.15	0.366	1.053	4.44
1534	283.15	0.366	1.053	5.876
1535	293.15	0.366	1.053	7.473
1536	303.15	0.366	1.053	9.158
1537	313.15	0.366	1.053	10.93
1538	323.15	0.366	1.053	12.785
1539	333.15	0.366	1.053	14.629
1540	243.15	0.366	1.053	1.276
1541	253.15	0.366	1.053	2.116
1542	263.15	0.366	1.053	3.189
1543	273.15	0.366	1.053	4.418
1544	283.15	0.366	1.053	5.863
1545	293.15	0.366	1.053	7.394
1546	303.15	0.366	1.053	9.123
1547	313.15	0.366	1.053	10.827
1548	323.15	0.366	1.053	12.89
1549	333.15	0.366	1.053	14.886
1550	243.15	0.366	1.053	1.333
1551	253.15	0.366	1.053	2.228
1552	263.15	0.366	1.053	3.366
1553	273.15	0.366	1.053	4.677
1554	283.15	0.366	1.053	6.197
1555	293.15	0.366	1.053	7.867
1556	303.15	0.366	1.053	9.78
1557	313.15	0.366	1.053	11.148
1558	323.15	0.366	1.053	13.7
1559	333.15	0.366	1.053	15.537
1560	253.15	0.464	0.194	1.542
1561	263.15	0.464	0.194	1.963
1562	273.15	0.464	0.194	2.41
1563	283.15	0.464	0.194	2.869
1564	293.15	0.464	0.194	3.391
1565	303.15	0.464	0.194	3.675
1566	313.15	0.464	0.194	4.078
1567	323.15	0.464	0.194	4.684
1568	333.15	0.464	0.194	5.284
1569	253.15	0.464	0.194	1.603
1570	263.15	0.464	0.194	2.034
1571	273.15	0.464	0.194	2.505
1572	283.15	0.464	0.194	3.003
1573	293.15	0.464	0.194	3.44
1574	303.15	0.464	0.194	3.901
1575	313.15	0.464	0.194	4.344
1576	323.15	0.464	0.194	4.789
1577	333.15	0.464	0.194	5.27
1578	253.15	0.464	0.194	1.524
1579	263.15	0.464	0.194	1.94
1580	273.15	0.464	0.194	2.385
1581	283.15	0.464	0.194	2.846
1582	293.15	0.464	0.194	3.325
1583	303.15	0.464	0.194	3.795
1584	313.15	0.464	0.194	4.273
1585	323.15	0.464	0.194	4.766
1586	333.15	0.464	0.194	5.271
1587	253.15	0.464	0.194	1.523
1588	263.15	0.464	0.194	1.937
1589	273.15	0.464	0.194	2.38
1590	283.15	0.464	0.194	2.832
1591	293.15	0.464	0.194	3.29
1592	303.15	0.464	0.194	3.741
1593	313.15	0.464	0.194	4.196
1594	323.15	0.464	0.194	4.663
1595	333.15	0.464	0.194	5.137
1596	243.15	0.462	1.199	1.967
1597	253.15	0.462	1.199	2.897
1598	263.15	0.462	1.199	3.832
1599	273.15	0.462	1.199	4.806
1600	283.15	0.462	1.199	6.143
1601	293.15	0.462	1.199	7.388
1602	303.15	0.462	1.199	8.788
1603	313.15	0.462	1.199	10.255
1604	323.15	0.462	1.199	11.629
1605	333.15	0.462	1.199	12.918
1606	243.15	0.462	1.199	1.981
1607	253.15	0.462	1.199	2.95
1608	263.15	0.462	1.199	4.002
1609	273.15	0.462	1.199	5.068
1610	283.15	0.462	1.199	6.293
1611	293.15	0.462	1.199	7.538
1612	303.15	0.462	1.199	8.749
1613	313.15	0.462	1.199	10.134
1614	323.15	0.462	1.199	11.433
1615	333.15	0.462	1.199	12.71
1616	243.15	0.462	1.199	1.896
1617	253.15	0.462	1.199	2.791
1618	263.15	0.462	1.199	3.753
1619	273.15	0.462	1.199	4.712
1620	283.15	0.462	1.199	5.909
1621	293.15	0.462	1.199	7.077
1622	303.15	0.462	1.199	8.322
1623	313.15	0.462	1.199	9.359
1624	323.15	0.462	1.199	10.272
1625	333.15	0.462	1.199	11.889
1626	243.15	0.462	1.199	1.943
1627	253.15	0.462	1.199	2.865
1628	263.15	0.462	1.199	3.858
1629	273.15	0.462	1.199	4.867
1630	283.15	0.462	1.199	6.022
1631	293.15	0.462	1.199	7.249
1632	303.15	0.462	1.199	8.493
1633	313.15	0.462	1.199	9.894
1634	323.15	0.462	1.199	11.182
1635	333.15	0.462	1.199	12.47
1636	243.15	0.464	0.788	1.461
1637	253.15	0.464	0.788	2.329
1638	263.15	0.464	0.788	3.28
1639	273.15	0.464	0.788	4.465
1640	283.15	0.464	0.788	5.68
1641	293.15	0.464	0.788	7.193
1642	303.15	0.464	0.788	8.662
1643	313.15	0.464	0.788	10.38
1644	323.15	0.464	0.788	11.922
1645	333.15	0.464	0.788	13.447
1646	243.15	0.464	0.788	1.476
1647	253.15	0.464	0.788	2.36
1648	263.15	0.464	0.788	3.379
1649	273.15	0.464	0.788	4.47
1650	283.15	0.464	0.788	5.765
1651	293.15	0.464	0.788	7.056
1652	303.15	0.464	0.788	8.665
1653	313.15	0.464	0.788	10.272
1654	323.15	0.464	0.788	11.979
1655	333.15	0.464	0.788	13.582
1656	243.15	0.464	0.788	1.45
1657	253.15	0.464	0.788	2.316
1658	263.15	0.464	0.788	3.311
1659	273.15	0.464	0.788	4.369
1660	283.15	0.464	0.788	5.64
1661	293.15	0.464	0.788	7.04
1662	303.15	0.464	0.788	8.554
1663	313.15	0.464	0.788	10.19
1664	323.15	0.464	0.788	11.914
1665	333.15	0.464	0.788	13.484
1666	243.15	0.464	0.788	1.608
1667	253.15	0.464	0.788	2.559
1668	263.15	0.464	0.788	3.628
1669	273.15	0.464	0.788	4.751
1670	283.15	0.464	0.788	6.274
1671	293.15	0.464	0.788	7.891
1672	303.15	0.464	0.788	9.459
1673	313.15	0.464	0.788	11.32
1674	323.15	0.464	0.788	12.929
1675	333.15	0.464	0.788	14.416
1676	243.15	0.464	0.788	1.492
1677	253.15	0.464	0.788	2.394
1678	263.15	0.464	0.788	3.429
1679	273.15	0.464	0.788	4.532
1680	283.15	0.464	0.788	5.851
1681	293.15	0.464	0.788	7.3
1682	303.15	0.464	0.788	8.904
1683	313.15	0.464	0.788	10.621
1684	323.15	0.464	0.788	12.168
1685	333.15	0.464	0.788	13.757
1686	243.15	0.465	2.097	0.319
1687	253.15	0.465	2.097	0.731
1688	263.15	0.465	2.097	1.321
1689	273.15	0.465	2.097	2.062
1690	283.15	0.465	2.097	2.991
1691	293.15	0.465	2.097	4.216
1692	303.15	0.465	2.097	5.568
1693	313.15	0.465	2.097	7.102
1694	323.15	0.465	2.097	8.727
1695	333.15	0.465	2.097	10.419
1696	243.15	0.465	2.097	0.327
1697	253.15	0.465	2.097	0.742
1698	263.15	0.465	2.097	1.318
1699	273.15	0.465	2.097	2.05
1700	283.15	0.465	2.097	3.029
1701	293.15	0.465	2.097	4.208
1702	303.15	0.465	2.097	5.537
1703	313.15	0.465	2.097	7.26
1704	323.15	0.465	2.097	8.607
1705	333.15	0.465	2.097	10.314
1706	243.15	0.465	2.097	0.328
1707	253.15	0.465	2.097	0.744
1708	263.15	0.465	2.097	1.349
1709	273.15	0.465	2.097	2.107
1710	283.15	0.465	2.097	3.119
1711	293.15	0.465	2.097	4.326
1712	303.15	0.465	2.097	5.683
1713	313.15	0.465	2.097	7.248
1714	323.15	0.465	2.097	8.8
1715	333.15	0.465	2.097	10.467
1716	243.15	0.465	2.097	0.331
1717	253.15	0.465	2.097	0.757
1718	263.15	0.465	2.097	1.368
1719	273.15	0.465	2.097	2.124
1720	283.15	0.465	2.097	3.134
1721	293.15	0.465	2.097	4.342
1722	303.15	0.465	2.097	5.502
1723	313.15	0.465	2.097	7.232
1724	323.15	0.465	2.097	8.954
1725	333.15	0.465	2.097	10.8
1726	243.15	0.465	2.097	0.344
1727	253.15	0.465	2.097	0.766
1728	263.15	0.465	2.097	1.383
1729	273.15	0.465	2.097	2.121
1730	283.15	0.465	2.097	3.123
1731	293.15	0.465	2.097	4.338
1732	303.15	0.465	2.097	5.695
1733	313.15	0.465	2.097	7.235
1734	323.15	0.465	2.097	8.748
1735	333.15	0.465	2.097	10.299
1736	243.15	0.465	2.097	0.311
1737	253.15	0.465	2.097	0.681
1738	263.15	0.465	2.097	1.21
1739	273.15	0.465	2.097	1.865
1740	283.15	0.465	2.097	2.73
1741	293.15	0.465	2.097	3.794
1742	303.15	0.465	2.097	5.051
1743	313.15	0.465	2.097	6.44
1744	323.15	0.465	2.097	7.917
1745	333.15	0.465	2.097	9.402
1746	243.15	1.0	0.194	1.168
1747	253.15	1.0	0.194	1.562
1748	263.15	1.0	0.194	1.962
1749	273.15	1.0	0.194	2.347
1750	283.15	1.0	0.194	2.772
1751	293.15	1.0	0.194	3.218
1752	303.15	1.0	0.194	3.646
1753	313.15	1.0	0.194	4.065
1754	323.15	1.0	0.194	4.451
1755	333.15	1.0	0.194	4.773
1756	243.15	1.0	0.194	1.142
1757	253.15	1.0	0.194	1.53
1758	263.15	1.0	0.194	1.911
1759	273.15	1.0	0.194	2.279
1760	283.15	1.0	0.194	2.695
1761	293.15	1.0	0.194	3.132
1762	303.15	1.0	0.194	3.512
1763	313.15	1.0	0.194	3.931
1764	323.15	1.0	0.194	4.396
1765	333.15	1.0	0.194	4.762
1766	243.15	1.0	0.194	1.126
1767	253.15	1.0	0.194	1.505
1768	263.15	1.0	0.194	1.881
1769	273.15	1.0	0.194	2.241
1770	283.15	1.0	0.194	2.647
1771	293.15	1.0	0.194	3.068
1772	303.15	1.0	0.194	3.487
1773	313.15	1.0	0.194	3.916
1774	323.15	1.0	0.194	4.403
1775	333.15	1.0	0.194	4.836
1776	243.15	1.0	0.194	1.116
1777	253.15	1.0	0.194	1.481
1778	263.15	1.0	0.194	1.852
1779	273.15	1.0	0.194	2.213
1780	283.15	1.0	0.194	2.618
1781	293.15	1.0	0.194	3.031
1782	303.15	1.0	0.194	3.532
1783	313.15	1.0	0.194	3.852
1784	323.15	1.0	0.194	4.251
1785	333.15	1.0	0.194	4.736
1786	243.15	1.0	0.797	1.861
1787	253.15	1.0	0.797	2.705
1788	263.15	1.0	0.797	3.668
1789	273.15	1.0	0.797	4.666
1790	283.15	1.0	0.797	5.763
1791	293.15	1.0	0.797	6.689
1792	303.15	1.0	0.797	7.781
1793	313.15	1.0	0.797	8.829
1794	323.15	1.0	0.797	9.701
1795	333.15	1.0	0.797	10.66
1796	243.15	1.0	0.797	1.852
1797	253.15	1.0	0.797	2.686
1798	263.15	1.0	0.797	3.586
1799	273.15	1.0	0.797	4.504
1800	283.15	1.0	0.797	5.554
1801	293.15	1.0	0.797	6.69
1802	303.15	1.0	0.797	7.948
1803	313.15	1.0	0.797	9.383
1804	323.15	1.0	0.797	10.466
1805	333.15	1.0	0.797	11.538
1806	243.15	1.0	0.797	1.918
1807	253.15	1.0	0.797	2.811
1808	263.15	1.0	0.797	3.782
1809	273.15	1.0	0.797	4.772
1810	283.15	1.0	0.797	5.906
1811	293.15	1.0	0.797	7.103
1812	303.15	1.0	0.797	8.313
1813	313.15	1.0	0.797	9.575
1814	323.15	1.0	0.797	10.542
1815	333.15	1.0	0.797	11.668
1816	243.15	1.0	0.797	1.921
1817	253.15	1.0	0.797	2.811
1818	263.15	1.0	0.797	3.785
1819	273.15	1.0	0.797	4.798
1820	283.15	1.0	0.797	5.955
1821	293.15	1.0	0.797	6.906
1822	303.15	1.0	0.797	8.203
1823	313.15	1.0	0.797	9.239
1824	323.15	1.0	0.797	10.152
1825	333.15	1.0	0.797	11.125
1826	243.15	1.0	0.797	2.014
1827	253.15	1.0	0.797	2.971
1828	263.15	1.0	0.797	3.978
1829	273.15	1.0	0.797	5.147
1830	283.15	1.0	0.797	6.163
1831	293.15	1.0	0.797	7.403
1832	303.15	1.0	0.797	8.26
1833	313.15	1.0	0.797	9.552
1834	323.15	1.0	0.797	10.728
1835	333.15	1.0	0.797	11.718
1836	243.15	1.0	1.215	1.397
1837	253.15	1.0	1.215	2.218
1838	263.15	1.0	1.215	3.172
1839	273.15	1.0	1.215	4.241
1840	283.15	1.0	1.215	5.501
1841	293.15	1.0	1.215	6.852
1842	303.15	1.0	1.215	8.446
1843	313.15	1.0	1.215	9.748
1844	323.15	1.0	1.215	11.097
1845	333.15	1.0	1.215	12.348
1846	243.15	1.0	1.215	1.406
1847	253.15	1.0	1.215	2.218
1848	263.15	1.0	1.215	3.161
1849	273.15	1.0	1.215	4.258
1850	283.15	1.0	1.215	5.573
1851	293.15	1.0	1.215	6.976
1852	303.15	1.0	1.215	8.361
1853	313.15	1.0	1.215	9.764
1854	323.15	1.0	1.215	11.063
1855	333.15	1.0	1.215	12.295
1856	243.15	1.0	1.215	1.433
1857	253.15	1.0	1.215	2.275
1858	263.15	1.0	1.215	3.254
1859	273.15	1.0	1.215	4.342
1860	283.15	1.0	1.215	5.635
1861	293.15	1.0	1.215	7.019
1862	303.15	1.0	1.215	8.494
1863	313.15	1.0	1.215	10.107
1864	323.15	1.0	1.215	11.569
1865	333.15	1.0	1.215	12.757
1866	243.15	1.0	1.215	1.399
1867	253.15	1.0	1.215	2.217
1868	263.15	1.0	1.215	3.162
1869	273.15	1.0	1.215	4.213
1870	283.15	1.0	1.215	5.436
1871	293.15	1.0	1.215	6.769
1872	303.15	1.0	1.215	8.185
1873	313.15	1.0	1.215	9.646
1874	323.15	1.0	1.215	11.049
1875	333.15	1.0	1.215	12.343
1876	243.15	1.0	1.215	1.484
1877	253.15	1.0	1.215	2.363
1878	263.15	1.0	1.215	3.396
1879	273.15	1.0	1.215	4.555
1880	283.15	1.0	1.215	5.916
1881	293.15	1.0	1.215	7.216
1882	303.15	1.0	1.215	8.875
1883	313.15	1.0	1.215	10.415
1884	323.15	1.0	1.215	11.959
1885	333.15	1.0	1.215	13.413
1886	243.15	1.0	2.118	0.386
1887	253.15	1.0	2.118	0.821
1888	263.15	1.0	2.118	1.435
1889	273.15	1.0	2.118	2.205
1890	283.15	1.0	2.118	3.217
1891	293.15	1.0	2.118	4.066
1892	303.15	1.0	2.118	5.762
1893	313.15	1.0	2.118	7.259
1894	323.15	1.0	2.118	8.821
1895	333.15	1.0	2.118	10.471
1896	243.15	1.0	2.118	0.388
1897	253.15	1.0	2.118	0.828
1898	263.15	1.0	2.118	1.451
1899	273.15	1.0	2.118	2.237
1900	283.15	1.0	2.118	3.264
1901	293.15	1.0	2.118	4.494
1902	303.15	1.0	2.118	5.783
1903	313.15	1.0	2.118	7.292
1904	323.15	1.0	2.118	8.804
1905	333.15	1.0	2.118	10.305
1906	243.15	1.0	2.118	0.372
1907	253.15	1.0	2.118	0.793
1908	263.15	1.0	2.118	1.386
1909	273.15	1.0	2.118	2.132
1910	283.15	1.0	2.118	3.095
1911	293.15	1.0	2.118	4.27
1912	303.15	1.0	2.118	5.438
1913	313.15	1.0	2.118	6.94
1914	323.15	1.0	2.118	8.312
1915	333.15	1.0	2.118	9.839
1916	243.15	1.0	2.118	0.388
1917	253.15	1.0	2.118	0.824
1918	263.15	1.0	2.118	1.448
1919	273.15	1.0	2.118	2.241
1920	283.15	1.0	2.118	3.266
1921	293.15	1.0	2.118	4.484
1922	303.15	1.0	2.118	5.813
1923	313.15	1.0	2.118	7.294
1924	323.15	1.0	2.118	8.843
1925	333.15	1.0	2.118	10.463
1926	243.15	1.0	2.118	0.379
1927	253.15	1.0	2.118	0.826
1928	263.15	1.0	2.118	1.451
1929	273.15	1.0	2.118	2.246
1930	283.15	1.0	2.118	3.281
1931	293.15	1.0	2.118	4.507
1932	303.15	1.0	2.118	5.824
1933	313.15	1.0	2.118	7.301
1934	323.15	1.0	2.118	8.852
1935	333.15	1.0	2.118	10.447
1936	243.15	1.0	2.118	0.387
1937	253.15	1.0	2.118	0.83
1938	263.15	1.0	2.118	1.457
1939	273.15	1.0	2.118	2.273
1940	283.15	1.0	2.118	3.337
1941	293.15	1.0	2.118	4.825
1942	303.15	1.0	2.118	5.904
1943	313.15	1.0	2.118	7.293
1944	323.15	1.0	2.118	8.896
1945	333.15	1.0	2.118	10.489
1946	243.15	1.0	2.118	0.393
1947	253.15	1.0	2.118	0.837
1948	263.15	1.0	2.118	1.465
1949	273.15	1.0	2.118	2.26
1950	283.15	1.0	2.118	3.273
1951	293.15	1.0	2.118	4.487
1952	303.15	1.0	2.118	5.818
1953	313.15	1.0	2.118	7.318
1954	323.15	1.0	2.118	8.884
1955	333.15	1.0	2.118	10.496
1956	243.15	0.089	0.194	1.187
1957	253.15	0.089	0.194	1.594
1958	263.15	0.089	0.194	2.02
1959	273.15	0.089	0.194	2.473
1960	283.15	0.089	0.194	2.962
1961	293.15	0.089	0.194	3.468
1962	303.15	0.089	0.194	3.965
1963	313.15	0.089	0.194	4.491
1964	323.15	0.089	0.194	5.02
1965	333.15	0.089	0.194	5.511
1966	243.15	0.089	0.194	1.183
1967	253.15	0.089	0.194	1.586
1968	263.15	0.089	0.194	2.009
1969	273.15	0.089	0.194	2.457
1970	283.15	0.089	0.194	2.945
1971	293.15	0.089	0.194	3.453
1972	303.15	0.089	0.194	3.949
1973	313.15	0.089	0.194	4.462
1974	323.15	0.089	0.194	4.97
1975	333.15	0.089	0.194	5.466
1976	243.15	0.089	0.194	1.189
1977	253.15	0.089	0.194	1.491
1978	263.15	0.089	0.194	1.887
1979	273.15	0.089	0.194	2.314
1980	283.15	0.089	0.194	2.795
1981	293.15	0.089	0.194	3.3
1982	303.15	0.089	0.194	3.819
1983	313.15	0.089	0.194	4.376
1984	323.15	0.089	0.194	4.946
1985	333.15	0.089	0.194	5.498
1986	243.15	0.089	0.194	1.124
1987	253.15	0.089	0.194	1.436
1988	263.15	0.089	0.194	1.817
1989	273.15	0.089	0.194	2.241
1990	283.15	0.089	0.194	2.721
1991	293.15	0.089	0.194	3.24
1992	303.15	0.089	0.194	3.767
1993	313.15	0.089	0.194	4.31
1994	323.15	0.089	0.194	4.858
1995	333.15	0.089	0.194	5.407
1996	243.15	0.089	0.194	1.187
1997	253.15	0.089	0.194	1.599
1998	263.15	0.089	0.194	2.03
1999	273.15	0.089	0.194	2.468
2000	283.15	0.089	0.194	2.955
2001	293.15	0.089	0.194	3.407
2002	303.15	0.089	0.194	3.877
2003	313.15	0.089	0.194	4.32
2004	323.15	0.089	0.194	4.935
2005	333.15	0.089	0.194	5.445
2006	243.15	0.09	0.779	1.84
2007	253.15	0.09	0.779	2.677
2008	263.15	0.09	0.779	3.604
2009	273.15	0.09	0.779	4.579
2010	283.15	0.09	0.779	5.694
2011	293.15	0.09	0.779	6.875
2012	303.15	0.09	0.779	8.042
2013	313.15	0.09	0.779	9.661
2014	323.15	0.09	0.779	11.122
2015	333.15	0.09	0.779	12.469
2016	243.15	0.09	0.779	1.89
2017	253.15	0.09	0.779	2.769
2018	263.15	0.09	0.779	3.748
2019	273.15	0.09	0.779	4.796
2020	283.15	0.09	0.779	6.005
2021	293.15	0.09	0.779	7.313
2022	303.15	0.09	0.779	8.518
2023	313.15	0.09	0.779	9.836
2024	323.15	0.09	0.779	11.344
2025	333.15	0.09	0.779	12.657
2026	243.15	0.09	0.779	1.906
2027	253.15	0.09	0.779	2.792
2028	263.15	0.09	0.779	3.777
2029	273.15	0.09	0.779	4.814
2030	283.15	0.09	0.779	5.988
2031	293.15	0.09	0.779	7.325
2032	303.15	0.09	0.779	8.495
2033	313.15	0.09	0.779	9.837
2034	323.15	0.09	0.779	11.007
2035	333.15	0.09	0.779	12.498
2036	243.15	0.09	0.779	1.826
2037	253.15	0.09	0.779	2.662
2038	263.15	0.09	0.779	3.587
2039	273.15	0.09	0.779	4.517
2040	283.15	0.09	0.779	5.376
2041	293.15	0.09	0.779	6.332
2042	303.15	0.09	0.779	7.705
2043	313.15	0.09	0.779	9.427
2044	323.15	0.09	0.779	10.996
2045	333.15	0.09	0.779	12.64
2046	243.15	0.09	0.779	1.858
2047	253.15	0.09	0.779	2.715
2048	263.15	0.09	0.779	3.674
2049	273.15	0.09	0.779	4.684
2050	283.15	0.09	0.779	5.802
2051	293.15	0.09	0.779	6.988
2052	303.15	0.09	0.779	8.152
2053	313.15	0.09	0.779	9.698
2054	323.15	0.09	0.779	11.034
2055	333.15	0.09	0.779	12.365
2056	243.15	0.09	0.779	1.859
2057	253.15	0.09	0.779	2.727
2058	263.15	0.09	0.779	3.693
2059	273.15	0.09	0.779	4.706
2060	283.15	0.09	0.779	5.873
2061	293.15	0.09	0.779	7.12
2062	303.15	0.09	0.779	8.379
2063	313.15	0.09	0.779	9.715
2064	323.15	0.09	0.779	11.075
2065	333.15	0.09	0.779	12.478
2066	243.15	0.089	1.194	1.389
2067	253.15	0.089	1.194	2.218
2068	263.15	0.089	1.194	3.209
2069	273.15	0.089	1.194	4.305
2070	283.15	0.089	1.194	5.585
2071	293.15	0.089	1.194	7.028
2072	303.15	0.089	1.194	8.437
2073	313.15	0.089	1.194	9.98
2074	323.15	0.089	1.194	11.641
2075	333.15	0.089	1.194	13.577
2076	243.15	0.089	1.194	1.393
2077	253.15	0.089	1.194	2.23
2078	263.15	0.089	1.194	3.222
2079	273.15	0.089	1.194	4.311
2080	283.15	0.089	1.194	5.599
2081	293.15	0.089	1.194	7.019
2082	303.15	0.089	1.194	8.439
2083	313.15	0.089	1.194	10.174
2084	323.15	0.089	1.194	11.848
2085	333.15	0.089	1.194	13.448
2086	243.15	0.089	1.194	1.403
2087	253.15	0.089	1.194	2.25
2088	263.15	0.089	1.194	3.261
2089	273.15	0.089	1.194	4.381
2090	283.15	0.089	1.194	5.732
2091	293.15	0.089	1.194	7.261
2092	303.15	0.089	1.194	8.796
2093	313.15	0.089	1.194	10.512
2094	323.15	0.089	1.194	12.104
2095	333.15	0.089	1.194	13.644
2096	243.15	0.089	1.194	1.415
2097	253.15	0.089	1.194	2.272
2098	263.15	0.089	1.194	3.29
2099	273.15	0.089	1.194	4.403
2100	283.15	0.089	1.194	5.721
2101	293.15	0.089	1.194	7.182
2102	303.15	0.089	1.194	8.636
2103	313.15	0.089	1.194	10.259
2104	323.15	0.089	1.194	11.958
2105	333.15	0.089	1.194	13.554
2106	243.15	0.089	1.194	1.114
2107	253.15	0.089	1.194	2.256
2108	263.15	0.089	1.194	3.271
2109	273.15	0.089	1.194	4.383
2110	283.15	0.089	1.194	5.695
2111	293.15	0.089	1.194	7.158
2112	303.15	0.089	1.194	8.62
2113	313.15	0.089	1.194	10.19
2114	323.15	0.089	1.194	11.843
2115	333.15	0.089	1.194	13.456
2116	243.15	0.087	2.07	0.209
2117	253.15	0.087	2.07	0.523
2118	263.15	0.087	2.07	1.031
2119	273.15	0.087	2.07	1.727
2120	283.15	0.087	2.07	2.711
2121	293.15	0.087	2.07	4.024
2122	303.15	0.087	2.07	5.639
2123	313.15	0.087	2.07	7.553
2124	323.15	0.087	2.07	9.403
2125	333.15	0.087	2.07	11.11
2126	243.15	0.087	2.07	0.337
2127	253.15	0.087	2.07	0.623
2128	263.15	0.087	2.07	1.168
2129	273.15	0.087	2.07	1.845
2130	283.15	0.087	2.07	2.746
2131	293.15	0.087	2.07	3.739
2132	303.15	0.087	2.07	5.07
2133	313.15	0.087	2.07	6.739
2134	323.15	0.087	2.07	7.865
2135	333.15	0.087	2.07	10.769
2136	243.15	0.087	2.07	0.279
2137	253.15	0.087	2.07	0.658
2138	263.15	0.087	2.07	1.24
2139	273.15	0.087	2.07	1.999
2140	283.15	0.087	2.07	3.025
2141	293.15	0.087	2.07	4.302
2142	303.15	0.087	2.07	5.742
2143	313.15	0.087	2.07	7.461
2144	323.15	0.087	2.07	9.169
2145	333.15	0.087	2.07	10.894
2146	243.15	0.599	1.705	0.717
2147	253.15	0.599	1.705	1.355
2148	263.15	0.599	1.705	2.205
2149	273.15	0.599	1.705	3.198
2150	283.15	0.599	1.705	4.408
2151	293.15	0.599	1.705	5.79
2152	303.15	0.599	1.705	7.316
2153	313.15	0.599	1.705	8.899
2154	323.15	0.599	1.705	10.503
2155	333.15	0.599	1.705	12.156
2156	243.15	0.599	1.705	0.714
2157	253.15	0.599	1.705	1.346
2158	263.15	0.599	1.705	2.187
2159	273.15	0.599	1.705	3.19
2160	283.15	0.599	1.705	4.389
2161	293.15	0.599	1.705	5.747
2162	303.15	0.599	1.705	7.244
2163	313.15	0.599	1.705	8.847
2164	323.15	0.599	1.705	10.433
2165	333.15	0.599	1.705	12.092
2166	243.15	0.599	1.705	0.731
2167	253.15	0.599	1.705	1.387
2168	263.15	0.599	1.705	2.263
2169	273.15	0.599	1.705	3.285
2170	283.15	0.599	1.705	4.542
2171	293.15	0.599	1.705	5.943
2172	303.15	0.599	1.705	7.44
2173	313.15	0.599	1.705	9.028
2174	323.15	0.599	1.705	10.586
2175	333.15	0.599	1.705	12.271
2176	243.15	0.599	1.705	0.719
2177	253.15	0.599	1.705	1.359
2178	263.15	0.599	1.705	2.214
2179	273.15	0.599	1.705	3.209
2180	283.15	0.599	1.705	4.416
2181	293.15	0.599	1.705	5.734
2182	303.15	0.599	1.705	7.217
2183	313.15	0.599	1.705	8.867
2184	323.15	0.599	1.705	10.384
2185	333.15	0.599	1.705	12.034
2186	243.15	0.599	1.705	0.718
2187	253.15	0.599	1.705	1.353
2188	263.15	0.599	1.705	2.204
2189	273.15	0.599	1.705	3.202
2190	283.15	0.599	1.705	4.419
2191	293.15	0.599	1.705	5.807
2192	303.15	0.599	1.705	7.332
2193	313.15	0.599	1.705	8.936
2194	323.15	0.599	1.705	10.532
2195	333.15	0.599	1.705	12.167
2196	243.15	0.6	1.798	0.612
2197	253.15	0.6	1.798	1.193
2198	263.15	0.6	1.798	2.001
2199	273.15	0.6	1.798	2.961
2200	283.15	0.6	1.798	4.145
2201	293.15	0.6	1.798	5.499
2202	303.15	0.6	1.798	7.009
2203	313.15	0.6	1.798	8.589
2204	323.15	0.6	1.798	10.164
2205	333.15	0.6	1.798	11.795
2206	243.15	0.6	1.798	0.602
2207	253.15	0.6	1.798	1.177
2208	263.15	0.6	1.798	1.97
2209	273.15	0.6	1.798	2.918
2210	283.15	0.6	1.798	4.086
2211	293.15	0.6	1.798	5.429
2212	303.15	0.6	1.798	6.896
2213	313.15	0.6	1.798	8.452
2214	323.15	0.6	1.798	10.013
2215	333.15	0.6	1.798	11.671
2216	243.15	0.6	1.798	0.603
2217	253.15	0.6	1.798	1.172
2218	263.15	0.6	1.798	1.957
2219	273.15	0.6	1.798	2.896
2220	283.15	0.6	1.798	4.055
2221	293.15	0.6	1.798	5.374
2222	303.15	0.6	1.798	6.836
2223	313.15	0.6	1.798	8.378
2224	323.15	0.6	1.798	9.945
2225	333.15	0.6	1.798	11.63
2226	243.15	0.6	1.798	0.598
2227	253.15	0.6	1.798	1.17
2228	263.15	0.6	1.798	1.951
2229	273.15	0.6	1.798	2.896
2230	283.15	0.6	1.798	4.048
2231	293.15	0.6	1.798	5.376
2232	303.15	0.6	1.798	6.848
2233	313.15	0.6	1.798	8.418
2234	323.15	0.6	1.798	10.007
2235	333.15	0.6	1.798	11.666
2236	243.15	0.6	1.798	0.607
2237	253.15	0.6	1.798	1.191
