	T [K]	r	c [mol/kg]	k [mS/cm]
421	253.15	0.874	1.009	2.489
422	263.15	0.874	1.009	3.44
423	273.15	0.874	1.009	4.432
424	283.15	0.874	1.009	5.806
425	293.15	0.874	1.009	7.093
426	303.15	0.874	1.009	8.37
427	313.15	0.874	1.009	9.801
428	323.15	0.874	1.009	11.382
429	333.15	0.874	1.009	12.921
430	243.15	1.0	1.008	1.498
431	253.15	1.0	1.008	2.256
432	263.15	1.0	1.008	3.142
433	273.15	1.0	1.008	4.074
434	283.15	1.0	1.008	5.135
435	293.15	1.0	1.008	6.269
436	303.15	1.0	1.008	7.425
437	313.15	1.0	1.008	8.612
438	323.15	1.0	1.008	9.86
439	333.15	1.0	1.008	11.109
440	243.15	1.0	1.008	1.706
441	253.15	1.0	1.008	2.583
442	263.15	1.0	1.008	3.594
443	273.15	1.0	1.008	4.649
444	283.15	1.0	1.008	5.854
445	293.15	1.0	1.008	7.169
446	303.15	1.0	1.008	8.491
447	313.15	1.0	1.008	9.926
448	323.15	1.0	1.008	11.489
449	333.15	1.0	1.008	13.054
450	243.15	1.0	1.008	1.775
451	253.15	1.0	1.008	2.694
452	263.15	1.0	1.008	3.754
453	273.15	1.0	1.008	4.88
454	283.15	1.0	1.008	6.131
455	293.15	1.0	1.008	7.489
456	303.15	1.0	1.008	8.839
457	313.15	1.0	1.008	10.315
458	323.15	1.0	1.008	11.805
459	333.15	1.0	1.008	13.195
460	243.15	1.0	1.008	1.612
461	253.15	1.0	1.008	2.432
462	263.15	1.0	1.008	3.379
463	273.15	1.0	1.008	4.382
464	283.15	1.0	1.008	5.483
465	293.15	1.0	1.008	6.666
466	303.15	1.0	1.008	7.801
467	313.15	1.0	1.008	9.207
468	323.15	1.0	1.008	10.457
469	333.15	1.0	1.008	12.015
470	243.15	0.087	0.614	1.976
471	253.15	0.087	0.614	2.786
472	263.15	0.087	0.614	3.667
473	273.15	0.087	0.614	4.544
474	283.15	0.087	0.614	5.503
475	293.15	0.087	0.614	6.524
476	303.15	0.087	0.614	7.282
477	313.15	0.087	0.614	8.547
478	323.15	0.087	0.614	11.26
479	333.15	0.087	0.614	12.661
480	243.15	0.087	0.614	2.006
481	253.15	0.087	0.614	2.863
482	263.15	0.087	0.614	3.821
483	273.15	0.087	0.614	4.799
484	283.15	0.087	0.614	5.873
485	293.15	0.087	0.614	7.044
486	303.15	0.087	0.614	8.286
487	313.15	0.087	0.614	9.62
488	323.15	0.087	0.614	11.134
489	333.15	0.087	0.614	12.661
490	243.15	0.087	0.614	1.864
491	253.15	0.087	0.614	2.664
492	263.15	0.087	0.614	3.574
493	273.15	0.087	0.614	4.505
494	283.15	0.087	0.614	5.549
495	293.15	0.087	0.614	6.612
496	303.15	0.087	0.614	7.742
497	313.15	0.087	0.614	8.92
498	323.15	0.087	0.614	10.377
499	333.15	0.087	0.614	11.72
500	243.15	0.087	0.614	1.998
501	253.15	0.087	0.614	2.852
502	263.15	0.087	0.614	3.823
503	273.15	0.087	0.614	4.806
504	283.15	0.087	0.614	5.873
505	293.15	0.087	0.614	7.034
506	303.15	0.087	0.614	8.204
507	313.15	0.087	0.614	9.439
508	323.15	0.087	0.614	10.77
509	333.15	0.087	0.614	12.231
510	243.15	0.177	0.618	1.928
511	253.15	0.177	0.618	2.741
512	263.15	0.177	0.618	3.659
513	273.15	0.177	0.618	4.605
514	283.15	0.177	0.618	5.669
515	293.15	0.177	0.618	6.79
516	303.15	0.177	0.618	7.927
517	313.15	0.177	0.618	9.157
518	323.15	0.177	0.618	10.396
519	333.15	0.177	0.618	11.644
520	243.15	0.177	0.618	1.989
521	253.15	0.177	0.618	2.834
522	263.15	0.177	0.618	3.777
523	273.15	0.177	0.618	4.767
524	283.15	0.177	0.618	5.856
525	293.15	0.177	0.618	7.022
526	303.15	0.177	0.618	8.183
527	313.15	0.177	0.618	9.426
528	323.15	0.177	0.618	10.641
529	333.15	0.177	0.618	11.864
530	243.15	0.177	0.618	1.906
531	253.15	0.177	0.618	2.718
532	263.15	0.177	0.618	3.633
533	273.15	0.177	0.618	4.594
534	283.15	0.177	0.618	5.61
535	293.15	0.177	0.618	6.717
536	303.15	0.177	0.618	7.843
537	313.15	0.177	0.618	9.079
538	323.15	0.177	0.618	10.368
539	333.15	0.177	0.618	11.59
540	243.15	0.271	0.612	2.217
541	253.15	0.271	0.612	3.147
542	263.15	0.271	0.612	4.193
543	273.15	0.271	0.612	5.287
544	283.15	0.271	0.612	6.484
545	293.15	0.271	0.612	7.746
546	303.15	0.271	0.612	8.998
547	313.15	0.271	0.612	10.356
548	323.15	0.271	0.612	11.792
549	333.15	0.271	0.612	13.332
550	243.15	0.271	0.612	2.102
551	253.15	0.271	0.612	3.011
552	263.15	0.271	0.612	4.065
553	273.15	0.271	0.612	5.175
554	283.15	0.271	0.612	6.395
555	293.15	0.271	0.612	7.68
556	303.15	0.271	0.612	8.918
557	313.15	0.271	0.612	9.881
558	323.15	0.271	0.612	11.115
559	333.15	0.271	0.612	12.417
560	243.15	0.271	0.612	2.084
561	253.15	0.271	0.612	2.98
562	263.15	0.271	0.612	3.982
563	273.15	0.271	0.612	5.014
564	283.15	0.271	0.612	6.157
565	293.15	0.271	0.612	7.413
566	303.15	0.271	0.612	9.012
567	313.15	0.271	0.612	10.039
568	323.15	0.271	0.612	11.81
569	333.15	0.271	0.612	12.477
570	243.15	0.364	0.617	1.953
571	253.15	0.364	0.617	2.727
572	263.15	0.364	0.617	3.619
573	273.15	0.364	0.617	4.502
574	283.15	0.364	0.617	5.605
575	293.15	0.364	0.617	6.784
576	303.15	0.364	0.617	7.773
577	313.15	0.364	0.617	8.999
578	323.15	0.364	0.617	8.988
579	333.15	0.364	0.617	11.676
